ticket_id,created_at,topic,channel,region,satisfaction_score,response_text
TK-00077,2024-07-28,Account,Phone,NA,3,quick resolution
TK-00078,2024-01-13,Product,Phone,MEA,3,very helpful agent
TK-00079,2024-08-12,Technical,Phone,NA,3,nothing special
TK-00080,2024-06-20,Product,Phone,NA,3,best experience
TK-00081,2024-07-04,Technical,Phone,EU,3,best experience
TK-00082,2024-07-17,Product,Chat,NA,1,quick resolution
TK-00083,2024-07-10,Technical,Chat,EU,3,very helpful agent
TK-00084,2024-05-18,Product,Email,APAC,3,okay experience
TK-00085,2024-03-08,Product,Phone,NA,2,standard support
TK-00086,2024-02-21,Product,Phone,APAC,1,great communication
TK-00087,2024-05-14,Account,Social,APAC,4,okay experience
TK-00088,2024-03-01,Shipping,Chat,NA,2,it was fine
TK-00089,2024-03-13,Shipping,Social,APAC,2,app keeps crashing
TK-00090,2024-03-12,Technical,Email,NA,4,okay experience
TK-00091,2024-02-03,Account,Phone,EU,3,nothing special
TK-00092,2024-03-10,Product,Phone,NA,5,loved the support
TK-00093,2024-08-15,Account,Phone,EU,3,excellent service
TK-00094,2024-08-20,Billing,Email,NA,4,excellent service
TK-00095,2024-05-10,Product,Social,NA,3,quick resolution
TK-00096,2024-04-02,Product,Chat,APAC,1,best experience
TK-00097,2024-03-12,Technical,Social,NA,2,rude agent
TK-00098,2024-04-26,Account,Chat,APAC,3,it was fine
TK-00099,2024-04-10,Billing,Email,APAC,1,loved the support
TK-00100,2024-05-26,Shipping,Social,APAC,3,best experience
TK-00101,2024-08-06,Shipping,Social,MEA,4,very helpful agent
TK-00102,2024-06-03,Account,Social,NA,3,unacceptable wait time
TK-00103,2024-04-04,Billing,Social,NA,3,billing gone wrong
TK-00104,2024-05-04,Technical,Chat,MEA,2,quick resolution
TK-00105,2024-07-27,Account,Email,EU,2,it was fine
TK-00106,2024-02-23,Account,Chat,EU,3,very helpful agent
TK-00107,2024-06-07,Account,Social,MEA,4,it was fine
TK-00108,2024-07-25,Shipping,Email,EU,4,terrible experience
TK-00109,2024-08-03,Technical,Social,MEA,4,worst support
TK-00110,2024-02-09,Account,Email,MEA,2,terrible experience
TK-00111,2024-05-30,Billing,Phone,APAC,4,great communication
TK-00112,2024-06-28,Account,Social,NA,4,excellent service
TK-00113,2024-07-22,Billing,Phone,EU,2,nothing special
TK-00114,2024-07-18,Account,Email,EU,3,okay experience
TK-00115,2024-08-17,Billing,Phone,MEA,2,very helpful agent
TK-00116,2024-01-01,Shipping,Phone,NA,3,nothing special
TK-00117,2024-01-08,Shipping,Chat,EU,2,terrible experience
TK-00118,2024-05-31,Billing,Chat,EU,1,nothing special
TK-00119,2024-08-12,Product,Social,EU,4,okay experience
TK-00120,2024-07-19,Billing,Phone,MEA,4,app keeps crashing
TK-00121,2024-05-28,Shipping,Phone,EU,2,very helpful agent
TK-00122,2024-06-05,Shipping,Phone,MEA,4,standard support
TK-00123,2024-04-19,Shipping,Social,APAC,2,quick resolution
TK-00124,2024-06-14,Technical,Social,APAC,4,okay experience
TK-00125,2024-06-16,Account,Phone,NA,3,resolved fast
TK-00126,2024-06-01,Technical,Chat,APAC,3,great communication
TK-00127,2024-01-31,Technical,Email,APAC,4,it was fine
TK-00128,2024-06-15,Shipping,Social,EU,5,excellent service
TK-00129,2024-07-25,Technical,Phone,APAC,4,worst support
TK-00130,2024-04-09,Technical,Chat,EU,5,nothing special
TK-00131,2024-04-04,Account,Phone,NA,1,billing gone wrong
TK-00132,2024-04-29,Shipping,Email,APAC,5,nothing special
TK-00133,2024-06-28,Product,Chat,APAC,5,very helpful agent
TK-00134,2024-07-12,Billing,Social,APAC,5,great communication
TK-00135,2024-05-15,Billing,Phone,NA,2,best experience
TK-00136,2024-06-07,Product,Social,APAC,1,okay experience
TK-00137,2024-01-04,Product,Chat,MEA,3,okay experience
TK-00138,2024-04-06,Product,Social,EU,2,rude agent
TK-00139,2024-04-30,Technical,Phone,NA,2,billing gone wrong
TK-00140,2024-08-18,Technical,Email,MEA,4,it was fine
TK-00141,2024-02-18,Technical,Email,APAC,1,quick resolution
TK-00142,2024-03-17,Billing,Email,APAC,3,resolved fast
TK-00143,2024-05-21,Product,Email,NA,4,resolved fast
TK-00144,2024-03-28,Technical,Phone,NA,3,resolved fast
TK-00145,2024-07-06,Billing,Social,MEA,2,resolved fast
TK-00146,2024-02-13,Account,Phone,NA,2,excellent service
TK-00147,2024-05-10,Account,Social,APAC,5,standard support
TK-00148,2024-02-24,Technical,Phone,MEA,1,it was fine
TK-00149,2024-03-25,Account,Phone,APAC,1,okay experience
TK-00150,2024-01-28,Product,Email,NA,1,okay experience
TK-00151,2024-01-24,Technical,Phone,APAC,5,okay experience
TK-00152,2024-02-22,Shipping,Chat,EU,5,very helpful agent
TK-00153,2024-03-20,Billing,Phone,MEA,3,excellent service
TK-00154,2024-06-05,Billing,Phone,MEA,3,nothing special
TK-00155,2024-04-23,Account,Phone,APAC,4,best experience
TK-00156,2024-06-30,Shipping,Email,NA,5,great communication
TK-00157,2024-07-03,Account,Social,NA,4,great communication
TK-00158,2024-05-26,Technical,Chat,EU,5,nothing special
TK-00159,2024-03-30,Account,Email,APAC,5,okay experience
TK-00160,2024-07-02,Billing,Phone,NA,3,great communication
TK-00161,2024-07-28,Technical,Email,MEA,5,it was fine
TK-00162,2024-07-04,Shipping,Phone,APAC,4,quick resolution
TK-00163,2024-01-11,Product,Chat,EU,5,it was fine
TK-00164,2024-06-20,Billing,Social,EU,2,standard support
TK-00165,2024-01-26,Account,Social,NA,3,very helpful agent
TK-00166,2024-01-06,Billing,Phone,EU,3,okay experience
TK-00167,2024-08-26,Account,Chat,EU,3,okay experience
TK-00168,2024-06-23,Product,Chat,NA,1,it was fine
TK-00169,2024-03-12,Shipping,Chat,EU,2,quick resolution
TK-00170,2024-01-17,Product,Social,APAC,4,loved the support
TK-00171,2024-05-21,Shipping,Social,NA,4,okay experience
TK-00172,2024-02-28,Billing,Chat,EU,4,quick resolution
TK-00173,2024-02-22,Account,Social,EU,4,excellent service
TK-00174,2024-04-19,Shipping,Phone,NA,2,quick resolution
TK-00175,2024-06-06,Product,Chat,APAC,5,nothing special
TK-00176,2024-02-29,Product,Phone,EU,5,okay experience
TK-00177,2024-01-12,Billing,Social,MEA,3,worst support
TK-00178,2024-02-27,Billing,Social,MEA,2,best experience
TK-00179,2024-03-18,Account,Chat,EU,4,never received my order
TK-00180,2024-05-22,Product,Social,APAC,4,nothing special
TK-00181,2024-01-30,Billing,Social,APAC,4,standard support
TK-00182,2024-02-11,Account,Email,EU,1,never received my order
TK-00183,2024-02-11,Shipping,Social,EU,4,very slow refund
TK-00184,2024-08-17,Account,Phone,MEA,5,excellent service
TK-00185,2024-03-24,Shipping,Social,APAC,1,nothing special
TK-00186,2024-04-17,Account,Email,MEA,3,standard support
TK-00187,2024-01-01,Billing,Email,MEA,2,it was fine
TK-00188,2024-06-06,Product,Phone,EU,3,nothing special
TK-00189,2024-05-03,Technical,Email,NA,3,very helpful agent
TK-00190,2024-04-20,Technical,Social,MEA,2,loved the support
TK-00191,2024-04-10,Account,Chat,NA,3,standard support
TK-00192,2024-05-14,Billing,Email,APAC,2,best experience
TK-00193,2024-08-21,Billing,Email,NA,1,resolved fast
TK-00194,2024-07-28,Product,Social,APAC,5,excellent service
TK-00195,2024-03-01,Product,Social,APAC,5,billing gone wrong
TK-00196,2024-01-29,Technical,Social,NA,4,nothing special
TK-00197,2024-06-27,Technical,Chat,EU,3,standard support
TK-00198,2024-05-21,Billing,Email,NA,4,nothing special
TK-00199,2024-03-12,Shipping,Social,NA,3,standard support
TK-00200,2024-08-16,Billing,Chat,MEA,3,it was fine
TK-00201,2024-04-17,Account,Email,EU,1,quick resolution
TK-00202,2024-07-08,Billing,Email,APAC,4,very helpful agent
TK-00203,2024-08-24,Shipping,Phone,APAC,3,terrible experience
TK-00204,2024-04-03,Billing,Phone,NA,5,resolved fast
TK-00205,2024-07-12,Billing,Email,MEA,3,app keeps crashing
TK-00206,2024-02-11,Billing,Social,MEA,1,great communication
TK-00207,2024-02-25,Product,Social,MEA,1,loved the support
TK-00208,2024-06-05,Technical,Email,NA,3,billing gone wrong
TK-00209,2024-01-31,Billing,Social,EU,4,excellent service
TK-00210,2024-06-03,Billing,Social,NA,2,it was fine
TK-00211,2024-06-02,Product,Social,MEA,2,resolved fast
TK-00212,2024-07-18,Product,Email,APAC,2,unacceptable wait time
TK-00213,2024-07-25,Shipping,Chat,APAC,5,loved the support
TK-00214,2024-01-24,Account,Social,APAC,3,billing gone wrong
TK-00215,2024-07-21,Technical,Email,MEA,2,standard support
TK-00216,2024-06-30,Product,Phone,NA,4,quick resolution
TK-00217,2024-07-27,Billing,Chat,MEA,4,great communication
TK-00218,2024-04-11,Technical,Phone,EU,1,loved the support
TK-00219,2024-01-31,Account,Chat,MEA,1,standard support
TK-00220,2024-02-02,Shipping,Email,MEA,3,okay experience
TK-00221,2024-03-02,Technical,Email,APAC,5,standard support
TK-00222,2024-06-08,Account,Phone,MEA,3,rude agent
TK-00223,2024-01-29,Billing,Social,EU,3,rude agent
TK-00224,2024-06-19,Shipping,Chat,APAC,4,great communication
TK-00225,2024-01-15,Product,Chat,MEA,4,nothing special
TK-00226,2024-04-15,Billing,Email,APAC,1,resolved fast
TK-00227,2024-07-01,Account,Social,EU,3,great communication
TK-00228,2024-06-21,Account,Social,NA,4,quick resolution
TK-00229,2024-05-03,Product,Email,NA,3,great communication
TK-00230,2024-04-26,Billing,Email,APAC,4,standard support
TK-00231,2024-02-01,Shipping,Email,NA,3,very slow refund
TK-00232,2024-01-06,Account,Phone,APAC,3,nothing special
TK-00233,2024-07-15,Technical,Social,NA,1,it was fine
TK-00234,2024-08-05,Shipping,Social,EU,4,okay experience
TK-00235,2024-06-01,Billing,Phone,APAC,3,it was fine
TK-00236,2024-06-04,Account,Phone,NA,4,quick resolution
TK-00237,2024-04-13,Product,Email,EU,2,billing gone wrong
TK-00238,2024-01-24,Product,Email,EU,1,excellent service
TK-00239,2024-01-27,Shipping,Email,APAC,2,nothing special
TK-00240,2024-02-15,Shipping,Email,NA,1,quick resolution
TK-00241,2024-06-28,Technical,Chat,NA,3,okay experience
TK-00242,2024-01-21,Product,Social,MEA,4,resolved fast
TK-00243,2024-06-30,Account,Chat,APAC,2,worst support
TK-00244,2024-06-25,Product,Phone,EU,3,it was fine
TK-00245,2024-01-04,Technical,Social,EU,2,standard support
TK-00246,2024-03-14,Product,Chat,NA,3,terrible experience
TK-00247,2024-03-11,Shipping,Phone,EU,4,loved the support
TK-00248,2024-02-04,Shipping,Email,NA,4,unacceptable wait time
TK-00249,2024-07-31,Account,Social,NA,2,worst support
TK-00250,2024-05-20,Account,Email,NA,3,app keeps crashing
TK-00251,2024-02-07,Product,Chat,NA,2,great communication
TK-00252,2024-08-13,Billing,Chat,NA,5,nothing special
TK-00253,2024-08-12,Billing,Email,EU,3,nothing special
TK-00254,2024-08-03,Technical,Social,APAC,2,loved the support
TK-00255,2024-08-09,Account,Chat,MEA,4,app keeps crashing
TK-00256,2024-08-13,Product,Chat,NA,3,very helpful agent
TK-00257,2024-07-18,Billing,Phone,MEA,3,it was fine
TK-00258,2024-06-28,Product,Social,NA,3,best experience
TK-00259,2024-07-29,Account,Chat,EU,3,very slow refund
TK-00260,2024-03-31,Account,Social,EU,1,it was fine
TK-00261,2024-07-19,Account,Chat,NA,2,resolved fast
TK-00262,2024-06-02,Technical,Email,NA,4,resolved fast
TK-00263,2024-03-04,Technical,Chat,MEA,2,it was fine
TK-00264,2024-03-16,Product,Phone,EU,5,worst support
TK-00265,2024-06-18,Product,Social,MEA,3,best experience
TK-00266,2024-04-02,Shipping,Chat,APAC,2,great communication
TK-00267,2024-06-20,Shipping,Social,EU,3,loved the support
TK-00268,2024-07-26,Technical,Chat,NA,5,it was fine
TK-00269,2024-06-15,Account,Email,MEA,3,it was fine
TK-00270,2024-07-25,Billing,Email,EU,5,okay experience
TK-00271,2024-04-26,Technical,Phone,NA,2,best experience
TK-00272,2024-08-27,Technical,Phone,NA,3,quick resolution
TK-00273,2024-07-25,Billing,Social,EU,2,quick resolution
TK-00274,2024-06-15,Billing,Email,MEA,3,great communication
TK-00275,2024-03-09,Billing,Social,EU,5,loved the support
TK-00276,2024-08-26,Technical,Email,MEA,5,quick resolution
TK-00277,2024-07-06,Technical,Phone,MEA,3,it was fine
TK-00278,2024-01-09,Account,Email,MEA,2,standard support
TK-00279,2024-04-15,Account,Phone,APAC,3,best experience
TK-00280,2024-01-26,Product,Social,EU,1,okay experience
TK-00281,2024-06-22,Shipping,Phone,APAC,5,quick resolution
TK-00282,2024-07-28,Technical,Chat,EU,4,okay experience
TK-00283,2024-06-20,Shipping,Social,EU,3,rude agent
TK-00284,2024-03-26,Billing,Chat,APAC,2,quick resolution
TK-00285,2024-06-12,Account,Email,EU,3,quick resolution
TK-00286,2024-08-07,Shipping,Email,NA,4,rude agent
TK-00287,2024-05-19,Shipping,Social,APAC,2,great communication
TK-00288,2024-03-28,Account,Email,MEA,4,never received my order
TK-00289,2024-01-11,Billing,Social,APAC,2,very slow refund
TK-00290,2024-07-26,Technical,Phone,APAC,1,nothing special
TK-00291,2024-02-08,Product,Email,EU,3,it was fine
TK-00292,2024-06-25,Technical,Social,APAC,3,great communication
TK-00293,2024-02-15,Billing,Chat,NA,5,best experience
TK-00294,2024-06-23,Product,Social,APAC,2,never received my order
TK-00295,2024-02-26,Account,Email,MEA,3,nothing special
TK-00296,2024-03-27,Product,Phone,NA,3,best experience
TK-00297,2024-02-23,Product,Social,APAC,4,best experience
TK-00298,2024-06-29,Billing,Chat,NA,2,standard support
TK-00299,2024-04-22,Shipping,Email,NA,4,very helpful agent
TK-00300,2024-05-23,Shipping,Chat,NA,3,it was fine
TK-00301,2024-08-01,Product,Phone,EU,3,very helpful agent
TK-00302,2024-02-06,Product,Social,NA,2,excellent service
TK-00303,2024-03-25,Shipping,Social,NA,3,standard support
TK-00304,2024-03-22,Billing,Email,EU,3,okay experience
TK-00305,2024-07-24,Technical,Email,EU,2,great communication
TK-00306,2024-08-10,Billing,Chat,NA,3,it was fine
TK-00307,2024-04-21,Technical,Phone,MEA,3,standard support
TK-00308,2024-01-06,Technical,Chat,MEA,5,great communication
TK-00309,2024-04-12,Technical,Email,NA,1,loved the support
TK-00310,2024-02-01,Billing,Chat,NA,3,worst support
TK-00311,2024-01-22,Account,Email,NA,1,nothing special
TK-00312,2024-04-26,Product,Email,MEA,1,okay experience
TK-00313,2024-03-27,Account,Chat,NA,3,okay experience
TK-00314,2024-04-20,Product,Social,MEA,2,unacceptable wait time
TK-00315,2024-08-22,Account,Chat,APAC,1,it was fine
TK-00316,2024-01-09,Product,Social,EU,3,worst support
TK-00317,2024-05-05,Billing,Email,MEA,4,nothing special
TK-00318,2024-06-06,Billing,Email,APAC,3,it was fine
TK-00319,2024-07-07,Account,Phone,NA,3,excellent service
TK-00320,2024-05-15,Shipping,Phone,MEA,1,excellent service
TK-00321,2024-03-25,Shipping,Email,MEA,1,it was fine
TK-00322,2024-03-01,Billing,Social,APAC,3,quick resolution
TK-00323,2024-04-18,Product,Chat,NA,2,okay experience
TK-00324,2024-05-26,Product,Phone,MEA,4,loved the support
TK-00325,2024-05-17,Account,Chat,NA,1,nothing special
TK-00326,2024-01-20,Shipping,Phone,EU,1,excellent service
TK-00327,2024-07-28,Shipping,Phone,APAC,4,app keeps crashing
TK-00328,2024-02-16,Billing,Social,MEA,3,great communication
TK-00329,2024-03-26,Product,Email,EU,4,standard support
TK-00330,2024-06-18,Shipping,Social,MEA,3,app keeps crashing
TK-00331,2024-07-07,Billing,Phone,EU,1,best experience
TK-00332,2024-04-14,Billing,Social,MEA,2,app keeps crashing
TK-00333,2024-03-08,Technical,Phone,EU,1,excellent service
TK-00334,2024-05-31,Account,Chat,MEA,3,worst support
TK-00335,2024-05-24,Shipping,Social,APAC,2,great communication
TK-00336,2024-04-14,Shipping,Email,NA,2,app keeps crashing
TK-00337,2024-02-14,Billing,Email,NA,1,best experience
TK-00338,2024-07-19,Shipping,Social,NA,2,best experience
TK-00339,2024-03-30,Technical,Email,EU,2,very helpful agent
TK-00340,2024-01-21,Billing,Social,NA,4,loved the support
TK-00341,2024-08-13,Technical,Chat,NA,4,quick resolution
TK-00342,2024-08-03,Account,Social,APAC,1,great communication
TK-00343,2024-08-20,Shipping,Social,MEA,3,okay experience
TK-00344,2024-07-27,Technical,Phone,APAC,3,nothing special
TK-00345,2024-03-15,Billing,Chat,EU,3,loved the support
TK-00346,2024-08-20,Product,Email,MEA,4,nothing special
TK-00347,2024-06-12,Technical,Email,EU,1,quick resolution
TK-00348,2024-01-30,Account,Social,APAC,4,quick resolution
TK-00349,2024-07-09,Shipping,Social,MEA,2,never received my order
TK-00350,2024-07-29,Account,Phone,APAC,3,resolved fast
TK-00351,2024-01-25,Shipping,Chat,MEA,4,loved the support
TK-00352,2024-05-05,Billing,Chat,MEA,2,best experience
TK-00353,2024-01-01,Product,Email,NA,5,never received my order
TK-00354,2024-02-27,Shipping,Email,APAC,3,nothing special
TK-00355,2024-06-12,Billing,Chat,APAC,1,standard support
TK-00356,2024-05-30,Billing,Phone,NA,3,very helpful agent
TK-00357,2024-05-02,Technical,Email,MEA,2,okay experience
TK-00358,2024-06-24,Billing,Chat,MEA,5,it was fine
TK-00359,2024-03-03,Billing,Chat,NA,3,nothing special
TK-00360,2024-03-04,Technical,Email,APAC,4,excellent service
TK-00361,2024-03-03,Product,Phone,APAC,5,unacceptable wait time
TK-00362,2024-03-14,Product,Email,MEA,3,loved the support
TK-00363,2024-04-11,Account,Phone,NA,3,nothing special
TK-00364,2024-02-19,Product,Email,NA,1,loved the support
TK-00365,2024-08-20,Account,Phone,EU,4,never received my order
TK-00366,2024-08-02,Product,Chat,APAC,4,billing gone wrong
TK-00367,2024-06-02,Product,Phone,APAC,2,great communication
TK-00368,2024-08-06,Billing,Email,EU,3,terrible experience
TK-00369,2024-04-21,Technical,Phone,NA,1,quick resolution
TK-00370,2024-07-28,Product,Email,EU,4,worst support
TK-00371,2024-05-17,Technical,Chat,MEA,3,okay experience
TK-00372,2024-04-28,Technical,Social,MEA,1,best experience
TK-00373,2024-05-06,Billing,Social,EU,5,quick resolution
TK-00374,2024-06-06,Billing,Chat,MEA,3,billing gone wrong
TK-00375,2024-01-16,Account,Phone,MEA,3,best experience
TK-00376,2024-03-11,Account,Social,APAC,2,very helpful agent
TK-00377,2024-02-19,Billing,Social,MEA,3,billing gone wrong
TK-00378,2024-05-02,Account,Chat,APAC,2,best experience
TK-00379,2024-08-14,Account,Email,MEA,4,okay experience
TK-00380,2024-04-17,Shipping,Phone,MEA,3,standard support
TK-00381,2024-06-10,Product,Social,EU,1,resolved fast
TK-00382,2024-07-22,Account,Social,MEA,5,great communication
TK-00383,2024-07-10,Account,Email,MEA,5,loved the support
TK-00384,2024-07-21,Billing,Email,EU,5,it was fine
TK-00385,2024-04-15,Shipping,Phone,NA,3,it was fine
TK-00386,2024-07-22,Account,Phone,MEA,2,quick resolution
TK-00387,2024-05-28,Shipping,Phone,MEA,5,nothing special
TK-00388,2024-08-12,Technical,Email,EU,1,nothing special
TK-00389,2024-05-14,Product,Social,MEA,2,excellent service
TK-00390,2024-05-29,Technical,Chat,NA,2,it was fine
TK-00391,2024-04-29,Shipping,Social,EU,1,quick resolution
TK-00392,2024-01-14,Shipping,Phone,NA,2,resolved fast
TK-00393,2024-02-25,Billing,Social,NA,1,okay experience
TK-00394,2024-07-12,Technical,Social,MEA,5,nothing special
TK-00395,2024-08-02,Technical,Phone,MEA,1,okay experience
TK-00396,2024-04-28,Shipping,Phone,APAC,2,it was fine
TK-00397,2024-05-30,Shipping,Chat,EU,4,loved the support
TK-00398,2024-06-27,Shipping,Phone,APAC,3,standard support
TK-00399,2024-06-23,Shipping,Phone,NA,2,excellent service
TK-00400,2024-02-02,Billing,Phone,EU,4,best experience
TK-00401,2024-05-08,Technical,Email,APAC,1,nothing special
TK-00402,2024-01-11,Product,Chat,MEA,2,best experience
TK-00403,2024-05-28,Shipping,Social,APAC,3,nothing special
TK-00404,2024-07-26,Account,Social,MEA,3,nothing special
TK-00405,2024-04-14,Billing,Phone,EU,3,very helpful agent
TK-00406,2024-02-22,Shipping,Phone,MEA,3,unacceptable wait time
TK-00407,2024-03-16,Product,Social,APAC,4,best experience
TK-00408,2024-01-03,Product,Phone,EU,3,very slow refund
TK-00409,2024-01-20,Billing,Chat,NA,4,great communication
TK-00410,2024-01-31,Technical,Phone,APAC,3,never received my order
TK-00411,2024-02-24,Account,Chat,APAC,4,excellent service
TK-00412,2024-04-01,Shipping,Social,EU,3,okay experience
TK-00413,2024-07-03,Account,Email,NA,3,resolved fast
TK-00414,2024-08-12,Technical,Email,MEA,4,excellent service
TK-00415,2024-05-22,Shipping,Phone,MEA,2,okay experience
TK-00416,2024-06-16,Technical,Social,EU,3,excellent service
TK-00417,2024-01-17,Technical,Chat,NA,5,nothing special
TK-00418,2024-07-20,Technical,Social,MEA,5,quick resolution
TK-00419,2024-08-06,Product,Email,MEA,3,standard support
TK-00420,2024-05-26,Technical,Social,MEA,3,worst support
TK-00421,2024-03-31,Technical,Phone,APAC,1,standard support
TK-00422,2024-01-28,Billing,Phone,MEA,4,app keeps crashing
TK-00423,2024-04-23,Product,Social,EU,5,nothing special
TK-00424,2024-03-16,Technical,Social,APAC,4,okay experience
TK-00425,2024-01-24,Product,Email,MEA,2,billing gone wrong
TK-00426,2024-04-06,Billing,Social,NA,4,excellent service
TK-00427,2024-05-11,Technical,Chat,EU,1,very helpful agent
TK-00428,2024-04-01,Product,Social,NA,2,excellent service
TK-00429,2024-05-08,Technical,Phone,EU,1,it was fine
TK-00430,2024-07-23,Product,Phone,MEA,3,nothing special
TK-00431,2024-07-14,Product,Social,NA,3,terrible experience
TK-00432,2024-04-02,Shipping,Phone,APAC,3,billing gone wrong
TK-00433,2024-06-28,Shipping,Email,NA,1,loved the support
TK-00434,2024-02-09,Account,Chat,EU,4,great communication
TK-00435,2024-06-27,Billing,Phone,NA,4,very helpful agent
TK-00436,2024-04-22,Product,Email,EU,2,billing gone wrong
TK-00437,2024-08-22,Technical,Email,APAC,2,it was fine
TK-00438,2024-08-16,Shipping,Social,EU,1,standard support
TK-00439,2024-02-05,Product,Social,MEA,2,nothing special
TK-00440,2024-05-14,Account,Email,EU,3,standard support
TK-00441,2024-07-12,Account,Social,NA,2,terrible experience
TK-00442,2024-05-15,Shipping,Social,APAC,5,okay experience
TK-00443,2024-03-29,Account,Email,NA,3,okay experience
TK-00444,2024-06-06,Technical,Chat,EU,2,unacceptable wait time
TK-00445,2024-03-01,Billing,Social,EU,3,quick resolution
TK-00446,2024-06-19,Shipping,Phone,APAC,3,standard support
TK-00447,2024-03-04,Shipping,Social,EU,3,nothing special
TK-00448,2024-04-17,Product,Social,APAC,2,quick resolution
TK-00449,2024-03-17,Technical,Email,EU,4,it was fine
