order_id,order_date,region,product,segment,channel,quantity,unit_price,revenue,discount_pct
ORD-000089,2023-03-25,South,Widget B,Enterprise,Online,3,418.57,1255.72,0
ORD-000090,2024-02-07,South,Widget C,Enterprise,Retail,3,439.55,1318.66,10
ORD-000091,2023-01-22,South,Widget C,SMB,Retail,4,99.09,396.35,5
ORD-000092,2024-09-23,North,Gadget Y,Enterprise,Retail,4,223.64,894.57,0
ORD-000093,2024-08-02,North,Widget A,Enterprise,Retail,3,426.27,1278.81,0
ORD-000094,2023-07-23,West,Service Plan,Consumer,Partners,2,107.68,215.36,0
ORD-000095,2023-02-17,West,Widget C,Consumer,Online,2,46.53,93.07,10
ORD-000096,2025-02-23,North,Widget C,Enterprise,Retail,3,293.47,880.4,15
ORD-000097,2024-06-08,South,Gadget X,Enterprise,Online,3,58.94,176.81,5
ORD-000098,2023-12-16,South,Gadget X,SMB,Retail,7,8.25,57.75,5
ORD-000099,2023-04-18,West,Gadget Y,Enterprise,Online,4,390.01,1560.03,15
ORD-000100,2025-01-15,East,Widget B,SMB,Retail,1,368.74,368.74,5
ORD-000101,2024-01-29,East,Widget B,SMB,Online,2,57.17,114.35,0
ORD-000102,2025-04-24,East,Widget A,Consumer,Online,4,454.61,1818.43,5
ORD-000103,2025-04-15,South,Widget C,SMB,Retail,2,217.78,435.56,10
ORD-000104,2024-09-14,East,Widget A,SMB,Online,3,396.21,1188.63,15
ORD-000105,2024-10-16,West,Widget B,SMB,Retail,3,129.65,388.95,5
ORD-000106,2024-09-28,South,Widget A,SMB,Online,3,381.33,1144.0,5
ORD-000107,2023-10-04,South,Gadget Y,Enterprise,Online,1,154.07,154.07,5
ORD-000108,2023-11-06,East,Widget C,SMB,Retail,2,174.29,348.58,0
ORD-000109,2025-04-07,South,Service Plan,SMB,Online,1,360.41,360.41,5
ORD-000110,2023-02-05,West,Gadget Y,SMB,Retail,1,405.03,405.03,5
ORD-000111,2025-03-27,North,Widget B,Consumer,Online,4,447.26,1789.04,10
ORD-000112,2023-09-18,East,Gadget Y,Enterprise,Online,3,332.3,996.89,0
ORD-000113,2025-03-22,West,Gadget Y,SMB,Online,2,253.44,506.88,10
ORD-000114,2024-04-01,West,Widget B,Enterprise,Partners,5,405.09,2025.43,15
ORD-000115,2024-04-19,East,Widget A,SMB,Retail,4,143.07,572.26,15
ORD-000116,2025-02-01,West,Gadget Y,Enterprise,Partners,5,129.24,646.19,5
ORD-000117,2024-07-20,West,Gadget Y,SMB,Online,3,301.02,903.06,10
ORD-000118,2024-07-09,West,Widget C,Enterprise,Retail,3,432.99,1298.96,10
ORD-000119,2023-08-04,West,Widget A,SMB,Retail,2,369.71,739.43,5
ORD-000120,2024-03-10,East,Gadget Y,SMB,Online,1,304.86,304.86,5
ORD-000121,2023-02-09,West,Gadget X,Enterprise,Retail,1,256.1,256.1,10
ORD-000122,2023-05-12,South,Widget C,SMB,Partners,5,153.42,767.09,0
ORD-000123,2024-02-18,North,Widget A,SMB,Retail,1,124.92,124.92,5
ORD-000124,2024-04-05,West,Gadget X,Consumer,Online,2,85.78,171.57,5
ORD-000125,2025-04-27,North,Service Plan,Enterprise,Online,3,472.3,1416.9,5
ORD-000126,2025-03-08,South,Widget A,Enterprise,Online,1,231.09,231.09,0
ORD-000127,2024-10-10,South,Widget A,Enterprise,Retail,1,164.1,164.1,0
ORD-000128,2024-07-20,West,Service Plan,SMB,Online,1,271.56,271.56,10
ORD-000129,2024-11-09,West,Widget A,Consumer,Partners,2,386.9,773.81,0
ORD-000130,2024-01-09,East,Widget A,Consumer,Partners,1,167.78,167.78,10
ORD-000131,2024-12-11,East,Gadget Y,SMB,Retail,3,296.93,890.78,10
ORD-000132,2024-10-23,West,Gadget X,Enterprise,Online,2,150.77,301.54,5
ORD-000133,2023-02-14,East,Widget C,Consumer,Retail,4,405.52,1622.08,0
ORD-000134,2024-10-09,North,Gadget X,Consumer,Retail,2,443.4,886.79,0
ORD-000135,2024-12-22,East,Gadget X,Enterprise,Online,2,33.17,66.33,0
ORD-000136,2024-05-10,North,Widget C,Enterprise,Retail,2,429.43,858.86,0
ORD-000137,2023-07-17,North,Widget B,Consumer,Online,2,88.18,176.36,15
ORD-000138,2023-04-11,West,Gadget X,Enterprise,Retail,1,74.63,74.63,0
ORD-000139,2023-06-30,East,Gadget X,Consumer,Online,2,37.63,75.27,5
ORD-000140,2023-06-19,East,Gadget X,SMB,Retail,2,333.78,667.56,5
ORD-000141,2023-01-30,South,Gadget Y,Enterprise,Online,1,264.98,264.98,0
ORD-000142,2023-10-10,East,Gadget X,Enterprise,Online,6,219.2,1315.19,0
ORD-000143,2025-04-12,West,Widget A,SMB,Partners,4,124.81,499.26,5
ORD-000144,2025-02-03,North,Service Plan,Enterprise,Retail,3,36.83,110.5,5
ORD-000145,2023-07-10,West,Widget B,SMB,Retail,3,5.89,17.66,5
ORD-000146,2024-12-27,South,Gadget X,SMB,Retail,1,295.6,295.6,5
ORD-000147,2025-01-08,East,Widget A,Enterprise,Retail,6,268.95,1613.72,0
ORD-000148,2023-01-13,East,Gadget X,SMB,Online,4,197.26,789.03,0
ORD-000149,2024-10-08,East,Widget B,SMB,Partners,1,445.68,445.68,5
ORD-000150,2024-05-03,South,Widget B,Enterprise,Online,5,179.95,899.74,0
ORD-000151,2024-03-19,East,Gadget Y,Enterprise,Partners,5,322.16,1610.81,10
ORD-000152,2023-04-17,East,Gadget X,SMB,Online,2,26.51,53.03,15
ORD-000153,2024-09-14,East,Widget A,SMB,Retail,4,345.94,1383.76,15
ORD-000154,2025-06-03,South,Widget B,Enterprise,Partners,1,461.4,461.4,5
ORD-000155,2024-05-12,South,Widget A,Consumer,Online,3,439.57,1318.72,0
ORD-000156,2023-12-16,South,Gadget X,Consumer,Partners,5,297.83,1489.16,5
ORD-000157,2024-05-01,West,Widget B,SMB,Retail,2,328.9,657.8,5
ORD-000158,2023-08-23,East,Widget A,Enterprise,Online,2,68.04,136.09,5
ORD-000159,2024-06-13,East,Widget B,Enterprise,Online,3,434.68,1304.05,10
ORD-000160,2023-01-06,West,Gadget X,Enterprise,Online,3,102.42,307.25,5
ORD-000161,2025-04-27,East,Widget C,SMB,Online,6,320.5,1923.01,10
ORD-000162,2023-02-19,North,Gadget Y,Consumer,Partners,6,216.24,1297.47,5
ORD-000163,2024-03-14,South,Widget C,SMB,Online,2,424.17,848.34,10
ORD-000164,2023-11-29,East,Widget C,Consumer,Retail,3,23.63,70.89,0
ORD-000165,2024-09-09,East,Gadget X,Enterprise,Online,3,295.75,887.25,0
ORD-000166,2023-07-02,South,Gadget X,SMB,Online,2,240.52,481.04,0
ORD-000167,2024-11-18,South,Service Plan,Enterprise,Retail,4,163.38,653.51,0
ORD-000168,2024-02-26,North,Gadget Y,Enterprise,Online,1,282.83,282.83,5
ORD-000169,2024-08-22,West,Widget C,SMB,Online,3,320.14,960.41,0
ORD-000170,2024-10-23,North,Gadget X,SMB,Online,1,356.27,356.27,5
ORD-000171,2023-09-18,South,Gadget Y,SMB,Retail,6,25.17,151.01,0
ORD-000172,2024-04-20,East,Widget B,Consumer,Online,1,431.07,431.07,0
ORD-000173,2024-08-11,West,Service Plan,SMB,Retail,4,331.93,1327.74,5
ORD-000174,2023-08-22,East,Widget C,SMB,Retail,2,21.89,43.77,5
ORD-000175,2023-11-28,East,Widget A,Enterprise,Online,4,330.17,1320.69,15
ORD-000176,2025-02-13,West,Widget B,SMB,Retail,2,260.46,520.93,0
ORD-000177,2025-06-07,South,Widget A,Enterprise,Online,2,151.58,303.17,10
ORD-000178,2023-08-14,East,Gadget X,SMB,Online,4,396.14,1584.58,0
ORD-000179,2024-04-14,South,Service Plan,Consumer,Partners,3,433.68,1301.04,10
ORD-000180,2023-03-27,East,Gadget X,Consumer,Retail,3,484.74,1454.23,5
ORD-000181,2024-11-01,East,Widget A,SMB,Online,4,436.97,1747.89,5
ORD-000182,2025-05-25,North,Gadget X,Enterprise,Online,3,204.63,613.89,0
ORD-000183,2024-04-21,South,Gadget X,SMB,Online,3,158.31,474.92,5
ORD-000184,2025-04-04,South,Widget B,SMB,Online,3,109.38,328.14,0
ORD-000185,2025-03-30,West,Gadget Y,SMB,Partners,1,331.13,331.13,0
ORD-000186,2023-09-05,West,Widget C,Enterprise,Online,2,171.19,342.37,0
ORD-000187,2023-07-03,South,Gadget X,Enterprise,Online,2,143.42,286.84,0
ORD-000188,2024-09-25,North,Gadget X,SMB,Online,2,462.47,924.93,15
ORD-000189,2023-03-18,East,Widget A,SMB,Retail,4,26.55,106.19,0
ORD-000190,2025-05-27,South,Service Plan,Consumer,Online,3,178.16,534.49,0
ORD-000191,2024-12-12,North,Widget A,SMB,Partners,5,220.32,1101.62,0
ORD-000192,2023-03-27,South,Widget C,Enterprise,Retail,1,106.85,106.85,0
ORD-000193,2024-11-29,East,Widget A,Consumer,Online,1,150.79,150.79,0
ORD-000194,2025-03-20,South,Widget C,Consumer,Retail,1,199.55,199.55,15
ORD-000195,2023-08-19,North,Gadget Y,SMB,Online,3,375.84,1127.53,0
ORD-000196,2025-03-22,West,Widget B,SMB,Online,1,41.44,41.44,0
ORD-000197,2023-11-12,South,Gadget X,SMB,Partners,4,60.77,243.1,0
ORD-000198,2025-04-30,,Widget C,SMB,Partners,1,205.89,205.89,0
ORD-000199,2024-07-29,East,Gadget Y,Enterprise,Online,2,396.14,792.28,5
ORD-000200,2024-02-05,East,Gadget X,Enterprise,Online,2,21.66,43.31,0
ORD-000201,2023-02-05,East,Widget A,Consumer,Online,6,171.26,1027.57,5
ORD-000202,2024-08-12,West,Widget B,Enterprise,Retail,5,113.56,567.82,20
ORD-000203,2023-10-16,West,Widget C,SMB,Retail,2,252.18,504.35,5
ORD-000204,2024-09-21,East,Widget B,SMB,Online,4,194.37,777.47,0
ORD-000205,2024-12-28,North,Widget A,Enterprise,Partners,2,140.04,280.09,0
ORD-000206,2023-06-11,East,Gadget X,SMB,Online,4,35.33,141.32,0
ORD-000207,2023-02-15,South,Widget A,SMB,Online,3,84.64,253.91,0
ORD-000208,2024-09-20,North,Widget A,SMB,Retail,3,309.74,929.22,5
ORD-000209,2024-04-20,West,Gadget X,Enterprise,Retail,2,301.73,603.47,0
ORD-000210,2024-02-03,East,Widget C,Consumer,Online,2,346.1,692.2,0
ORD-000211,2023-02-15,West,Gadget Y,Enterprise,Online,2,39.79,79.59,5
ORD-000212,2025-05-23,West,Widget B,Enterprise,Retail,2,9.28,18.56,5
ORD-000213,2023-02-12,East,Gadget X,Enterprise,Partners,4,311.74,1246.97,5
ORD-000214,2025-05-14,South,Gadget X,Enterprise,Partners,1,92.86,92.86,5
ORD-000215,2023-10-18,East,Widget A,Enterprise,Retail,5,376.04,1880.2,0
ORD-000216,2023-04-06,South,Gadget X,Enterprise,Retail,1,290.63,290.63,10
ORD-000217,2025-05-30,South,Widget C,Enterprise,Retail,1,136.02,136.02,15
ORD-000218,2023-07-03,South,Gadget Y,Enterprise,Online,3,218.51,655.52,0
ORD-000219,2023-08-19,East,Service Plan,SMB,Partners,5,215.95,1079.76,20
ORD-000220,2023-09-23,West,Gadget Y,Enterprise,Partners,5,125.88,629.41,0
ORD-000221,2023-09-27,South,Widget C,Consumer,Online,5,427.02,2135.1,0
ORD-000222,2023-12-08,East,Gadget Y,Consumer,Online,1,5.93,5.93,0
ORD-000223,2023-01-02,South,Gadget X,Enterprise,Online,5,125.88,629.39,10
ORD-000224,2023-10-15,West,Service Plan,Consumer,Retail,2,104.17,208.34,0
ORD-000225,2023-07-28,North,Widget C,SMB,Online,2,457.26,914.52,0
ORD-000226,2024-07-14,North,Widget B,SMB,Online,5,401.98,2009.89,0
ORD-000227,2024-10-27,North,Service Plan,Enterprise,Online,5,398.25,1991.27,0
ORD-000228,2024-05-12,West,Widget A,Consumer,Retail,4,413.67,1654.69,0
ORD-000229,2023-06-11,West,Widget B,Consumer,Retail,3,86.74,260.21,5
ORD-000230,2023-09-13,East,Widget A,Enterprise,Online,2,435.48,870.96,0
ORD-000231,2023-12-05,East,Service Plan,Consumer,Retail,4,199.45,797.79,0
ORD-000232,2024-07-30,West,Service Plan,SMB,Online,3,131.04,393.11,15
ORD-000233,2024-04-06,East,Widget B,SMB,Online,3,94.32,282.95,0
ORD-000234,2025-04-06,,Gadget Y,Enterprise,Retail,2,144.42,288.83,5
ORD-000235,2023-09-24,East,Widget B,Consumer,Online,5,271.85,1359.27,15
ORD-000236,2024-03-12,North,Widget C,SMB,Online,1,179.93,179.93,10
ORD-000237,2024-05-21,East,Widget A,Consumer,Online,3,342.45,1027.34,5
ORD-000238,2024-06-23,North,Gadget X,SMB,Online,5,8.27,41.35,0
ORD-000239,2023-06-06,North,Widget C,Consumer,Online,4,233.0,932.0,5
ORD-000240,2023-01-09,South,Gadget X,SMB,Retail,4,207.24,828.97,0
ORD-000241,2025-01-29,East,Widget A,Enterprise,Partners,5,97.09,485.47,5
ORD-000242,2024-04-26,North,Gadget Y,Consumer,Retail,1,423.58,423.58,20
ORD-000243,2024-09-04,South,Gadget X,Consumer,Online,1,137.07,137.07,5
ORD-000244,2024-03-04,West,Gadget X,SMB,Partners,1,188.18,188.18,0
ORD-000245,2025-02-05,West,Gadget Y,Consumer,Retail,1,253.43,253.43,15
ORD-000246,2025-04-02,South,Widget C,Enterprise,Partners,1,104.01,104.01,10
ORD-000247,2023-10-26,East,Widget A,SMB,Online,1,314.25,314.25,0
ORD-000248,2023-12-15,North,Gadget X,SMB,Online,2,62.82,125.64,0
ORD-000249,2024-06-03,East,Widget B,SMB,Online,4,136.36,545.46,0
ORD-000250,2025-01-23,South,Widget B,Consumer,Retail,3,86.74,260.21,5
ORD-000251,2023-05-24,West,Gadget Y,SMB,Online,3,498.35,1495.06,0
ORD-000252,2024-10-02,East,Gadget X,SMB,Retail,2,234.04,468.08,5
ORD-000253,2023-07-30,South,Widget B,SMB,Retail,4,41.02,164.09,0
ORD-000254,2023-08-20,East,Gadget Y,SMB,Online,3,328.02,984.05,0
ORD-000255,2024-11-19,East,Widget C,Enterprise,Retail,4,302.11,1208.44,5
ORD-000256,2024-03-24,South,Widget B,Consumer,Online,2,147.47,294.94,0
ORD-000257,2023-02-14,South,Service Plan,SMB,Online,2,21.22,42.44,5
ORD-000258,2024-06-05,North,Widget C,Enterprise,Retail,4,71.61,286.44,0
ORD-000259,2025-03-25,South,Widget A,Enterprise,Online,3,250.19,750.57,0
ORD-000260,2024-03-16,South,Widget A,SMB,Online,1,119.38,119.38,0
ORD-000261,2023-06-26,East,Gadget X,Consumer,Retail,3,312.08,936.24,5
ORD-000262,2024-10-01,South,Gadget Y,Enterprise,Online,4,428.66,1714.62,0
ORD-000263,2024-03-03,West,Service Plan,SMB,Partners,4,230.96,923.86,0
ORD-000264,2024-06-01,North,Widget C,SMB,Online,2,53.32,106.64,0
ORD-000265,2023-05-25,West,Widget B,Consumer,Online,1,421.95,421.95,5
ORD-000266,2023-01-12,North,Gadget X,SMB,Online,2,28.83,57.66,0
ORD-000267,2025-05-24,North,Widget C,SMB,Online,2,198.8,397.59,0
ORD-000268,2023-06-10,West,Widget A,Consumer,Online,3,188.21,564.63,0
ORD-000269,2025-03-19,West,Widget C,Enterprise,Online,3,317.61,952.83,0
ORD-000270,2024-07-02,East,Widget C,SMB,Retail,4,409.79,1639.14,5
ORD-000271,2023-03-11,East,Widget B,Enterprise,Online,3,55.75,167.25,5
ORD-000272,2023-12-30,East,Service Plan,Consumer,Retail,3,229.27,687.8,10
ORD-000273,2024-08-28,East,Gadget X,Enterprise,Online,3,91.1,273.31,0
ORD-000274,2023-02-19,West,Widget C,SMB,Online,4,345.36,1381.42,0
ORD-000275,2025-04-09,North,Widget A,Enterprise,Retail,2,443.66,887.31,15
ORD-000276,2024-01-02,South,Widget C,Enterprise,Online,2,159.18,318.36,0
ORD-000277,2024-05-05,South,Gadget X,Enterprise,Retail,2,353.75,707.51,0
ORD-000278,2024-03-12,South,Gadget X,SMB,Retail,1,270.35,270.35,5
ORD-000279,2025-01-05,East,Widget B,SMB,Online,1,415.72,415.72,5
ORD-000280,2024-10-09,East,Widget B,Enterprise,Retail,4,445.89,1783.57,5
ORD-000281,2023-04-03,East,Gadget X,SMB,Retail,1,214.19,214.19,10
ORD-000282,2024-05-10,South,Gadget X,Enterprise,Partners,2,27.46,54.91,5
ORD-000283,2025-04-06,North,Service Plan,Enterprise,Retail,3,46.37,139.1,10
ORD-000284,2024-11-21,North,Gadget X,Consumer,Online,3,266.55,799.66,5
ORD-000285,2024-11-19,West,Widget A,Consumer,Online,3,244.81,734.43,10
ORD-000286,2025-04-26,East,Widget A,Enterprise,Online,1,11.35,11.35,0
ORD-000287,2024-07-13,West,Widget A,Consumer,Online,3,51.41,154.22,0
ORD-000288,2024-09-30,West,Gadget X,Enterprise,Online,1,281.94,281.94,5
ORD-000289,2024-04-06,East,Widget A,Consumer,Online,1,169.09,169.09,0
ORD-000290,2023-07-31,South,Gadget Y,SMB,Retail,3,182.33,547.0,0
ORD-000291,2023-04-16,East,Gadget X,SMB,Online,4,370.9,1483.59,0
ORD-000292,2023-03-19,West,Widget C,SMB,Retail,4,431.36,1725.44,0
ORD-000293,2024-06-20,South,Widget A,SMB,Online,3,338.76,1016.29,5
ORD-000294,2023-03-09,East,Gadget X,Consumer,Online,5,350.43,1752.17,0
ORD-000295,2024-07-15,South,Gadget X,Enterprise,Online,7,341.5,2390.5,5
ORD-000296,2024-05-05,South,Widget A,Enterprise,Retail,4,272.92,1091.69,0
ORD-000297,2024-02-21,East,Widget A,SMB,Retail,4,60.47,,0
ORD-000298,2023-02-03,West,Widget B,Enterprise,Online,1,225.4,225.4,0
ORD-000299,2023-11-28,West,Widget A,Consumer,Retail,3,237.87,713.6,5
ORD-000300,2025-05-09,West,Service Plan,Consumer,Partners,4,314.45,1257.8,10
ORD-000301,2023-03-10,West,Widget B,Consumer,Online,7,448.64,3140.45,0
ORD-000302,2023-08-19,East,Gadget X,SMB,Retail,3,161.67,485.02,0
ORD-000303,2024-08-30,South,Widget C,SMB,Online,4,65.57,262.26,5
ORD-000304,2024-09-29,South,Widget A,Enterprise,Online,1,68.0,68.0,0
ORD-000305,2025-02-02,South,Service Plan,Enterprise,Retail,3,87.43,262.28,0
ORD-000306,2024-07-27,South,Gadget Y,Enterprise,Partners,6,476.58,2859.47,5
ORD-000307,2025-05-12,North,Widget B,Consumer,Partners,3,138.16,,0
ORD-000308,2023-03-20,North,Gadget X,SMB,Retail,2,274.12,548.23,15
ORD-000309,2025-05-26,East,Gadget Y,Enterprise,Retail,4,346.86,1387.45,0
ORD-000310,2024-03-03,West,Widget A,Consumer,Partners,3,293.27,879.81,0
ORD-000311,2024-08-11,East,Widget B,SMB,Online,4,92.23,368.91,5
ORD-000312,2024-02-05,North,Gadget X,SMB,Online,6,248.23,1489.38,5
ORD-000313,2024-01-05,North,Widget C,Enterprise,Online,3,463.41,1390.24,5
ORD-000314,2024-09-26,South,Widget C,Enterprise,Online,3,239.69,719.08,0
ORD-000315,2024-02-15,East,Service Plan,Enterprise,Retail,1,121.56,121.56,5
ORD-000316,2024-01-16,South,Widget C,SMB,Online,6,190.31,1141.83,0
ORD-000317,2025-05-15,West,Gadget X,Enterprise,Retail,3,85.05,255.16,0
ORD-000318,2024-06-04,South,Widget A,SMB,Retail,1,144.59,144.59,0
ORD-000319,2024-11-23,West,Widget C,Consumer,Online,4,388.25,1553.0,0
ORD-000320,2024-08-29,West,Widget B,SMB,Partners,4,259.6,,0
ORD-000321,2025-05-15,North,Widget A,Enterprise,Partners,2,86.04,172.08,5
ORD-000322,2024-12-20,West,Widget A,Enterprise,Online,5,61.69,308.46,0
ORD-000323,2024-02-11,North,Widget A,Consumer,Partners,3,61.86,185.58,0
ORD-000324,2023-07-04,East,Widget A,Enterprise,Retail,4,344.12,1376.46,0
ORD-000325,2023-07-01,East,Gadget X,SMB,Online,2,7.91,15.83,0
ORD-000326,2024-06-30,South,Widget B,Consumer,Partners,1,479.98,479.98,5
ORD-000327,2025-02-19,East,Service Plan,Enterprise,Online,2,142.98,285.95,0
ORD-000328,2023-09-18,South,Widget A,Consumer,Online,2,398.64,797.28,5
ORD-000329,2023-02-14,North,Widget A,SMB,Retail,2,368.69,737.37,0
